"วันที่ลงบันทึก","เลขที่","ชื่อ","ที่อยู่","ยอดเงิน"
"2018-03-02","IV61030010","นายสสส อออ","","300"
"2018-02-05","IV610200002","ร้าน เจริญกิจวิทยุ","1490/19 ถ.ขุขันธ์","33,950.00"
"2018-01-17","IV61010185","หจก. เอ็ม.เอ็น อิเล็คทริคซัพพลาย","251/34 ม.2 ถ.สุขุมวิท ","2,211.60"
"2018-01-15","IV61010169","ร้าน วุฒิชัยการไฟฟ้า","26/3 ม.10 ถ.โคก","2,145.00"
"2018-01-15","IV61010168","ร้าน แอทโฮม","204","1,832.00"
"2018-01-15","IV61010167","ร้าน S.P.การไฟฟ้า","64 ม.7","36,640.00"
"2018-01-15","IV61010165","ร้าน ไฟฟ้าสองนคร","101/8 ม.2","3,078.00"
"2018-01-15","IV61010164","ร้าน ซอดีกีนการไฟฟ้า-ประปาฮาร์ดแวร์","282 ม.7","12,160.00"
"2018-01-15","IV61010163","บริษัท เมืองเลยบิ๊กโฮม","11/2 ถ.เลย-เชียงคาน","31,380.00"
"2018-01-15","IV61010160","ร้าน ทรัพย์ทวีอะไหล่","135/9 ม.2 ","3,558.00"
"2018-01-15","IV61010159","ร้าน ลิพอนฮาร์ดแวร์","97/3-4 ม.8 ถ.เทพกระษัตรี","3,780.00"
"2018-01-15","IV61010158","ร้าน วุฒิชัยการไฟฟ้า","26/3 ม.10 ถ.โคก","18,260.00"
"2018-01-15","IV61010172","ร้าน พิพัฒน์การไฟฟ้า","315/317 ถ.ผดุงพานิชย์","28,200.00"
"2018-01-15","IV61010171","หจก. ยิ่งเจริญพาณิชย์ปากช่อง","680/1 ถนนมิตรภาพ","5,000.00"
"2018-01-15","IV61010166","ร้าน ศรีลำไพรการไฟฟ้า เวียงจันทร์","( ร้านแม่นาง ตลาดบ้านหนองด้วง)","151,200.00"
"2018-01-15","IV61010162","ร้าน วุฒิชัยการไฟฟ้า","26/3 ม.10 ถ.โคก","23,018.75"
"2018-01-15","IV61010161","หจก. ธนาการไฟฟ้า","101/26 ถ.รัษฎา","3,900.00"
"2018-01-15","CT6101129","หจก. หมื่นแสนค้าไม้","31/12 ม.10 ถ.เลียบคลองภาษีเจริญฝั่งเหนือ ","8,140.00"
"2018-01-13","IV61010157","ร้าน จิรภัทรการไฟฟ้า","79,21/4 ม.4","6,080.00"
"2018-01-13","IV61010154","ร้าน ร่ำรวย เคหะภัณฑ์","888/9 หมู่ 4","48,781.30"
"2018-01-13","IV61010153","นำชัยการไฟฟ้า","503/6-9 ถ.ลูกเสือ","22,840.00"
"2018-01-13","IV61010152","ร้าน จีโนฮาร์ดแวร์","25/6 ม.10","11,412.50"
"2018-01-13","IV61010151","ร้าน รัตน์การไฟฟ้า","111/7 ม.9 ต.พิชัย อ.เมือง จ.ลำปาง","15,664.00"
"2018-01-13","IV61010150","ร้าน รวมการไฟฟ้า","11/1 ม.1","17,680.00"
"2018-01-13","IV61010149","ร้าน วิชัย","184/9 ม.1","3,050.00"
"2018-01-13","IV61010148","ร้าน ชมภูพงศ์การไฟฟ้า","167-52 ม.8","7,575.00"
"2018-01-13","IV61010147","ร้าน ศรีเทพก่อสร้าง","39/1 ม.5","2,002.00"
"2018-01-13","IV61010146","ร้าน อาม่าวัสดุก่อสร้าง","176/1 ม.7 ","13,800.00"
"2018-01-13","IV61010145","ร้าน รุ่งเรืองการไฟฟ้า","1401 ม.1","40,600.00"
"2018-01-13","IV61010144","หจก. อมรชัย คอมเพล็ก","95 ม.5","19,320.00"
"2018-01-13","IV61010143","ร้าน เอ็น การไฟฟ้า","เลขที่ 27-31 ถ.นิวาส","8,400.00"
"2018-01-13","IV61010142","ร้านหลอดไฟฟ้า","28 ถ.สุดบรรทัด","4,640.00"
"2018-01-13","IV61010140","ร้าน กิจชัยแอร์","78/3 ถนนรื่นรมย์","20,655.00"
"2018-01-13","IV61010139","บริษัท เมืองไทยเอาท์เล็ท จำกัด","299 หมู่4","40,830.00"
"2018-01-13","IV61010138","หจก. 76การไฟฟ้า","115/5-6 ม.8","2,520.00"
"2018-01-13","IV61010137","หจก. 76การไฟฟ้า","115/5-6 ม.8","15,950.00"
"2018-01-13","IV61010136","ร้าน ปูเป้การไฟฟ้า","13-17 บ้านต้นโชคหนองตอง","18,720.00"
"2018-01-13","IV61010135","ชัยเกษมภัณฑ์","724/1 ถ.สุดบรรทัด","15,420.00"
"2018-01-13","IV61010134","ร้าน สิทธิมงคล (กิจมงคล)","เลขที่ 39,41 ถ.แก้วพิจิตร","11,818.00"
"2018-01-13","IV61010156","หจก. ที.พี.การไฟฟ้า","140/2 ม.5","40,050.00"
"2018-01-13","IV61010155","บริษัท โคราชการไฟฟ้า (2539) จำกัด","35 ถ.จอมสุรางค์ยาตร์","25,200.00"
"2018-01-13","IV61010141","ร้าน แสงสงวนการไฟฟ้า","198-200 ถนนสรรพสิทธิ์","51,420.00"
"2018-01-12","IV61010133","ร้าน รัตนพานิช","69 ม.3 ถ.ขอนแก่น -ยางตลาด","13,580.00"
"2018-01-12","IV61010131","ร้าน ชัยเจริญ","93/28 หมู่.1","7,590.00"
"2018-01-12","IV61010130","ร้าน ประเสริฐวัสดุภัณฑ์","319/8-9  ถ.สุวรรณศร","6,300.00"
"2018-01-12","IV61010129","ร้าน ท่าเกวียนเฟอร์นิเทค ","339/2-44  ","4,560.00"
"2018-01-12","IV61010126","ร้าน มานะการไฟฟ้า","41/2 ซอย.บางประจัน.เอกชัย-แม่กลอง","9,267.50"
"2018-01-12","IV61010125","บริษัท หาดใหญ่สิริภัณฑ์ จำกัด","288 ถ.นิพัทธ์สงเคราะห์2 อ.หาดใหญ่ จ.สงขลา 90110","11,040.00"
"2018-01-12","IV61010132","หจก. จ.พาวเวอร์","313 ถ.ราษฎร์อุทิศ","7,440.00"
"2018-01-12","IV61010127","ร้าน สิบสี่การไฟฟ้า","157/11 ถ.เชียงใหม่-ฮอด","18,100.00"
"2018-01-11","IV61010122","บริษัท เค ที ซี อิเล็คทริค (2012) จำกัด","เลขที่ 2381 ซ.พุทธบูชา26","4,800.00"
"2018-01-11","IV61010124","นาประดู่การไฟฟ้า","15/4 ม.1","8,150.00"
"2018-01-11","IV61010123","บริษัท เมืองไทยเอาท์เล็ท จำกัด","299 หมู่4","9,120.00"
"2018-01-11","IV61010121","บริษัท เสริมบุญ เอ็นจิเนียริ่ง (1994) จำกัด","117 ม.13 ถ.สุขสวัสดิ์","23,500.00"
"2018-01-11","IV61010120","ร้าน สงวนการไฟฟ้า","65/693-5 เอกชัย 80/1","2,520.00"
"2018-01-11","IV61010119","ห้างหุ้นส่วนจำกัด ถาวรการค้า","24/16 ซ.หมู่บ้านเขาน้อย ","5,760.00"
"2018-01-11","IV61010118","ร้าน ประทิวค้าวัสดุก่อสร้าง สาขา(2)","2 ม.3","10,214.00"
"2018-01-11","IV61010117","ร้าน แอทโฮม","204","1,807.50"
"2018-01-11","IV61010115","ร้าน พรเจริญ","222 ม.7","6,600.00"
"2018-01-11","IV61010114","ร้าน โปร-เซฟตี้","767/4 ถ.ราชญาติรักษา","9,335.00"
"2018-01-11","IV61010113","ร้าน วุฒิชัย","192 ม.1","5,775.00"
"2018-01-11","IV61010112","หจก. จ.พาวเวอร์","313 ถ.ราษฎร์อุทิศ","1,710.00"
"2018-01-11","IV61010111","ร้าน เรือนชัยการไฟฟ้า","19/2 ม.6","2,850.00"
"2018-01-11","IV61010110","ร้าน แสงไทยวิทยุ","192-193 ถ.ราชนิกูล","57,000.00"
"2018-01-11","IV61010108","ร้าน ทรัพย์ถาวรการไฟฟ้า","555/1 ม.3 ","5,760.00"
"2018-01-11","IV61010107","ร้าน สัมฤทธิ์การไฟฟ้า","204 ถ.พระราม","7,920.00"
"2018-01-11","IV61010106","ร้าน  ตะวันออกวิศวกรรมการไฟฟ้า","33/55  ม.5","2,250.00"
"2018-01-11","IV61010105","ร้าน สินเจริญการไฟฟ้า","159/2 ถนนมิตรภาพ","3,350.00"
"2018-01-11","IV61010104","ร้าน ศรีเทพก่อสร้าง","39/1 ม.5","4,275.00"
"2018-01-11","IV61010103","หจก. ช.วาณิชธนสาสน์(ช.โฮมมาร์ท)","39/8 ม.5 ถ.เพชรเกษม","9,119.00"
"2018-01-11","IV61010102","ร้าน สงวนการไฟฟ้า","65/693-5 เอกชัย 80/1","6,765.00"
"2018-01-11","IV61010116","ร้าน โชคอนันท์","24/4 หมู่10","4,290.00"
"2018-01-11","IV61010109","บริษัท บางสะพานวิศวกรรม จำกัด","22 ถ.เพรษเกษม-ชายทะเล","6,765.00"
"2018-01-11","CT6101073","ห้างหุ้นส่วนจำกัด ดำรงค์ชัยเคหะภัณฑ์","372,374 ถ.พระรามที่ 2 ","3,695.78"
"2018-01-11","CT6101072","บริษัท เค.ที.อาร์.ซัพพลายแอนด์เซอร์วิส จำกัด ","223/1-2 ถ.วิเศษกุล ","7,150.00"
"2018-01-10","CT6101065","บริษัท เอเชีย ธนสิน จำกัด","24/81 ซอยวิภาวดีรังสิต 37 ถนนวิภาวดีรังสิต","18,952.05"
"2018-01-10","IV61010101","ร้าน เจริญกิจวิทยุ","1490/19 ถ.ขุขันธ์","53,300.00"
"2018-01-10","IV61010100","ร้าน ท่าม่วงราดิโอ","75/15 ถ.แสงชูโตโต้","6,740.00"
"2018-01-10","IV61010098","อุ่นดีอุปกรณ์ไฟฟ้า","127/1 ม.5 ถ.เชียงใหม่-พร้าว","9,360.50"
"2018-01-10","IV61010096","ร้าน ธิชาการไฟฟ้า","489/5 ม.1","3,695.00"
"2018-01-10","IV61010095","ร้าน เอกชัยพาณิชย์","20/5 ม.2","3,780.00"
"2018-01-10","IV61010094","ร้าน วีกิจการไฟฟ้า","180/1-2 ถ.ธนูประสิทธิ์","12,160.00"
"2018-01-10","IV61010093","ร้าน พรเจริญชัย","91 ม.2","6,285.60"
"2018-01-10","IV61010092","ร้าน ธนาพรอุปกรณ์","34/3 ม.10","8,480.00"
"2018-01-10","IV61010091","ร้าน วุฒิชัยการไฟฟ้า","26/3 ม.10 ถ.โคก","28,344.00"
"2018-01-10","IV61010090","บริษัท อาร์.พี เทคโนโลยี ซัพพลาย จำกัด"," 96/23 หมู่.8","7,500.00"
"2018-01-10","IV61010088","ร้าน ไทยสมผล","20-22 ถ.จรตวิถีถ่อง","5,042.00"
"2018-01-10","IV61010087","ร้าน อาร์ เจ อิเล็คทริค","56 ม.1 ต.บางภาษี อ.บางเลน จ.นครปฐม","3,960.00"
"2018-01-10","IV61010086","ร้าน กิติการไฟฟ้า","141 หมู่ 8","7,920.00"
"2018-01-10","IV61010085","ร้าน แสงรุ่งเรืองการไฟฟ้า","36-38 ถ.ชยางกูร","2,050.00"
"2018-01-10","IV61010099","ร้าน เจริญกิจวิทยุ","1490/19 ถ.ขุขันธ์","10,200.00"
"2018-01-10","IV61010097","คุณ เก้าทราย แซ่จ่าว","","3,050.00"
"2018-01-10","IV61010089","ร้าน ศิริเจริญการไฟฟ้า-การยนต์","62  ม.1 ถ.มาลัยแมน","4,750.00"
"2018-01-09","IV61010083","หจก. ที.พี.การไฟฟ้า","140/2 ม.5","36,520.00"
"2018-01-09","IV61010082","ห้างหุ้นส่วนจำกัด ถาวรการค้า","24/16 ซ.หมู่บ้านเขาน้อย ","24,390.00"
"2018-01-09","IV61010081","ร้านมงคลทรัพย์การไฟฟ้า","13/3,13/4 ม.7","32,860.00"
"2018-01-09","IV61010080","ร้าน ประเสริฐวัสดุภัณฑ์","319/8-9  ถ.สุวรรณศร","9,120.00"
"2018-01-09","IV61010078","ร้าน พรเทพวิทยุ","43/51-2 รามราช ถนน รามราช","4,430.00"
"2018-01-09","IV61010077","ห้างหุ้นส่วนจำกัด ถาวรการค้า","24/16 ซ.หมู่บ้านเขาน้อย ","4,680.00"
"2018-01-09","IV61010076","ร้าน ช.โคมทอง","151 ม.8","2,760.00"
"2018-01-09","IV61010075","ร้าน จักรพันธ์ตรังไฟฟ้า","22-24 ถ.กันตรัง","6,080.00"
"2018-01-09","IV61010074","ร้าน เด่นเจริญ","3/20 หมู่ 3 ถ.นาเนียน","11,460.00"
"2018-01-09","IV61010073","บริษัท โฮมทองจำกัด","332 ม.2 ต.สระกรวด อ.ศรีเทพ จ.เพชรบูรณ์ 67000","5,160.00"
"2018-01-09","IV61010072","ร้าน สัมฤทธิ์การไฟฟ้า","204 ถ.พระราม","12,788.00"
"2018-01-09","CT6101062","บริษัท เอ็ดดูเทค คอมพิวเตอร์ จำกัด","15 ซ.เคหะร่มเกล้า 74 แยก 6 ถ.เคหะร่มเกล้า","11,416.90"
"2018-01-09","IV61010070","ร้าน วีเจ การไฟฟ้า","93/14 ม.5","13,029.00"
"2018-01-09","IV61010069","ร้าน พสิษฎร์เจริญซัพพลาย","1857/1-2  ม.7  ถ. เทพารักษ์","11,400.00"
"2018-01-09","IV61010067","ร้าน พรชัย","57 ม.18 ถนนเดช-บุณฑริก","48,360.00"
"2018-01-09","IV61010066","ร้าน อี๊ด การไฟฟ้า  ","39 หมู่ 1","10,020.00"
"2018-01-09","IV61010065","หจก. อธิษฐานก่อสร้าง","172/2 ถ.สุขาภิบาล","16,248.00"
"2018-01-09","IV61010064","บริษัท พีพี ฮาร์ดแวร์ จำกัด","99/90 ม.4","2,750.00"
"2018-01-09","IV61010084","ร้าน สมบูรณ์อีเล็คทริค (WEHUG)"," 173/5 ม.13 ซ.สุขาวดี ถ.หนองทรายขาว","2,759,420.00"
"2018-01-09","IV61010079","ร้าน น้ำโสมการไฟฟ้า","179 ม.1","6,390.00"
"2018-01-09","IV61010071","ร้าน โปร-เซฟตี้","767/4 ถ.ราชญาติรักษา","4,656.00"
"2018-01-09","IV61010068","ร้าน รุ่งเรืองการไฟฟ้า","1401 ม.1","4,200.00"
"2018-01-09","CT6101056","บริษัท เอ็ดดูเทค คอมพิวเตอร์ จำกัด","15 ซ.เคหะร่มเกล้า 74 แยก 6 ถ.เคหะร่มเกล้า","130,775.40"
"2018-01-09","CT6101055","บริษัท เจมินี ยูนิเวอร์แซล จำกัด","206/19 ถ.เจษฎาวิถี","4,622.40"
"2018-01-08","IV61010063","ร้าน ปทุมราชเทคนิค","16 ม.3","29,900.00"
"2018-01-08","IV61010062","หจก. สัจพรการไฟฟ้า","126 ม.8 ถ.ชยางกูร ","2,700.00"
"2018-01-08","IV61010061","ร้าน สมปองไฟฟ้า","2/3-4 ถ.ประชาวิถี","3,800.00"
"2018-01-08","IV61010060","ร้าน สัมฤทธิ์การไฟฟ้า","204 ถ.พระราม","11,400.00"
"2018-01-08","IV61010059","ร้าน ปทุมราชเทคนิค","16 ม.3","13,580.00"
"2018-01-08","IV61010057","ร้าน แสงตะวัน 77","118 ม.1 ถ.ไทยสมัคร","6,080.00"
"2018-01-08","IV61010058","ร้าน ศิริเจริญการไฟฟ้า-การยนต์","62  ม.1 ถ.มาลัยแมน","5,670.00"
"2018-01-08","IV61010056","ร้าน เซียงกี่ท่ายาง 1996 (ร้านใหม่)","331/15 ม.1","3,660.00"
"2018-01-08","IV61010055","บริษัท บางสะพานวิศวกรรม จำกัด","22 ถ.เพรษเกษม-ชายทะเล","10,730.00"
"2018-01-08","IV61010054","ร้าน สงัดการไฟฟ้า(สามแยกศักดิ์ชัย1)","25/7 ม.11 ถ.สุขุมวิท","3,600.00"
"2018-01-08","IV61010053","ร้าน พลอยแสงไลท์ติ้งเฮาส์","22/1-2 ถ.เทศบาล 2","17,760.00"
"2018-01-08","IV61010051","ร้าน สันป่าตองไฟฟ้า","186/2 ม.5","51,500.00"
"2018-01-08","IV61010050","ร้าน ซี ซี การไฟฟ้า","248/1 ม.1","2,940.00"
"2018-01-08","IV61010052","ร้าน เกษมพานิช","707 ม.1","16,280.00"
"2018-01-08","IV61010049","ร้าน ธนภรณ์การไฟฟ้า","465 ม.2","28,200.00"
"2018-01-06","IV61010048","ร้าน วงศ์ชัยการไฟฟ้า","16/1 ถนนนิตโย","22,680.00"
"2018-01-06","IV61010047","ร้าน ที พี วิศวกรรม","93 ม.1","12,780.00"
"2018-01-06","IV61010046","ร้าน อุดมไลท์ติ้ง"," 10/20-22 ถ.โพธิ์ศรี(ติดโรงเรียนเทศบาล 1)","24,846.00"
"2018-01-06","IV61010045","ร้าน แสงเสียงการไฟฟ้า","31/38-39 ","19,392.00"
"2018-01-06","IV61010043","หจก. 76การไฟฟ้า","115/5-6 ม.8","7,500.00"
"2018-01-06","IV61010042","เหมืองหิตการไฟฟ้า","1/86-87 หมู่ 1 ถนนเหมืองหิต","19,000.00"
"2018-01-06","IV61010040","หจก. โคกกรวดค้าไม้","111 ม.3","4,320.00"
"2018-01-06","IV61010039","ร้าน ปกูลทรัพย์ ฮาดแวร์","68/46-47 ม.1","4,000.00"
"2018-01-06","IV61010038","ร้าน รุ่งแสงการไฟฟ้า","337/3 ถ.แสงซูโต","6,340.00"
"2018-01-06","IV61010037","ร้าน แสนศิริเคหะภัณฑ์ ","299 ถ.ลพช ","20,694.00"
"2018-01-06","IV61010044","หจก. 76การไฟฟ้า","115/5-6 ม.8","4,290.00"
"2018-01-06","IV61010041","ห้างหุ้นส่วนจำกัด มีพร้อมโฮม","68 ม.12","20,788.00"
"2018-01-06","CT6101049","ร้าน ส.พนมมาศการไฟฟ้า..","709 ถ.พหลโยธิน","3,285.00"
"2018-01-05","IV61010035","ร้าน เกรียงไกรวัสดุภัณฑ์ ","14/7 ม.2 ถ.เพชรเกษม","3,780.00"
"2018-01-05","IV61010034","ร้าน พรทรัพย์สมบูรณ์การไฟฟ้า","177/3  ถ.กระบี่-เขาทอง","10,040.00"
"2018-01-05","IV61010033","บริษัท วรรณาเคหะภัณฑ์(ข้างธ.กรุงเทพ)","107/11 ม.1 ถ.เทศบาลบ้านโพธิ์","5,170.00"
"2018-01-05","IV61010030","ร้าน เนาวรัตน์การไฟฟ้า","439 ถ.พหลโยธิน","27,990.00"
"2018-01-05","IV61010029","หจก. บีบี แอท ซับพลาย","85/28 ม.6 ถ.เลี่ยงเมือง","3,600.00"
"2018-01-05","IV61010028","ร้าน จรรยพรการไฟฟ้า","132/5 ม.3  ถ.เชียงใหม่-ฝาง","9,760.00"
"2018-01-05","IV61010027","หจก. จิตรชัยการไฟฟ้า","887 ซ.พาณิชธนบุรี ถ.จรัญสนิทวงศ์","5,367.50"
"2018-01-05","IV61010026","ร้าน ทรัพย์ถาวรการไฟฟ้า","555/1 ม.3 ","7,500.00"
"2018-01-05","IV61010024","ร้าน ทรัพย์เจริญ","115/7 ม.1","14,760.00"
"2018-01-05","IV61010023","ร้าน โคมการไฟฟ้า","263 ม.6","13,150.00"
"2018-01-05","IV61010022","ร้าน ไทยรัตน์ฮาร์ดแวร์","259 ม.5","50,065.00"
"2018-01-05","IV61010021","ร้าน เลิศพานิช","156/4 ม.1","6,240.00"
"2018-01-05","IV61010020","ร้าน สัมฤทธิ์การไฟฟ้า","204 ถ.พระราม","6,760.00"
"2018-01-05","IV61010019","ร้าน คงสิริการไฟฟ้า","59 ถ.จอมพล","66,720.00"
"2018-01-05","IV61010018","ร้าน นภิสไฟฟ้าวิศวกรรม","236/6 หมู่3","13,700.00"
"2018-01-05","IV61010017","ร้าน  เจริญการไฟฟ้า","251/1, ถนนบำรุงเมือง","1,020.00"
"2018-01-05","IV61010016","ร้าน กิจวรรณโชติ","71-73 ซ.ศูนย์การค้าแฮปปี้แลนด์ ถ.ลาดพร้าว","9,500.00"
"2018-01-05","IV61010036","ร้าน รุ่งไพรศาล(กิ๊ฟกิ่ง)","163/1 ม.1","7,600.00"
"2018-01-05","IV61010032","ร้าน น้ำโสมการไฟฟ้า","179 ม.1","59,461.50"
"2018-01-05","IV61010031","ร้าน ปณิตาการไฟฟ้า","35/6-7 ถ.เทพาพัฒนา","3,464.00"
"2018-01-05","IV61010025","ร้าน สงวนการไฟฟ้า","65/693-5 เอกชัย 80/1","80,050.00"
"2018-01-05","CT6101030","ห้างหุ้นส่วนจำกัด ดำรงค์ชัยเคหะภัณฑ์","372,374 ถ.พระรามที่ 2 ","8,756.88"
"2018-01-05","CT6101029","บริษัท มัลติ อิเล็คทริค จำกัด","66/105-106 หมู่ 4","12,519.00"
"2018-01-04","IV61010015","ร้าน คณะบุคคลไล้ท์เฮ้าส์","242-247 ม.2","6,080.00"
"2018-01-04","IV61010014","ร้าน  เจริญการไฟฟ้า","251/1, ถนนบำรุงเมือง","18,240.00"
"2018-01-04","IV61010013","ร้าน ส.อุดมสุข","379/240-241 หมู่10","5,940.00"
"2018-01-04","IV61010012","ร้าน ศิริเจริญการไฟฟ้า-การยนต์","62  ม.1 ถ.มาลัยแมน","3,291.00"
"2018-01-04","IV61010011","หจก. บุญทวีวัสดุ","141/2 ม.1","8,270.00"
"2018-01-04","IV61010007","ร้าน เอ ที การไฟฟ้า","402 บ้านฮ่องกอม้วง  ม.6 ","4,844.00"
"2018-01-04","IV61010003","ร้าน ทรัพย์ทวีอะไหล่","135/9 ม.2 ","7,150.00"
"2018-01-04","IV61010010","ร้าน ไฟฟ้าสองนคร","101/8 ม.2","6,030.00"
"2018-01-04","IV61010009","ร้าน ดอกคำใต้การไฟฟ้า","119/4  ม.3","10,556.00"
"2018-01-04","IV61010008","ร้าน แสงสยามซัพพลาย","154/1,154/2 ถ.สุขุมวิท","19,660.00"
"2018-01-04","IV61010006","ร้าน ไพศาลการไฟฟ้า","37/1 ถ.บำรุงบุรี","2,160.00"
"2018-01-04","IV61010005","ร้าน ถวิลท้าวรอม","463 ม.1","3,800.00"
"2018-01-04","IV61010004","เจริญแท้การไฟฟ้า","18/2 ม.6","6,480.00"
"2018-01-03","IV61010001","ร้าน แสงแก๊ส","517 ถ.โกสีย์ หมู่ 3","55,970.00"
"2018-01-03","IV61010002","ร้าน แฮปปี้โฮม","405/12 ม.1 ถ.บึงกาฬ-นครพนม","35,060.00"
"2017-12-29","IV60120364","ร้าน อังกูรการไฟฟ้า","63 ม.13","49,450.00"
"2017-12-29","IV60120363","ร้าน ต.อิเล็คทริค","179 หมู่ 1 ต.โคกกรวด","103,240.00"
"2017-12-29","IV60120362","ร้าน สินไพศาลฮาร์ดแวร์","71-3 หมู่ 1 ถนนนิวาสวัฒนกิจ","16,981.00"
"2017-12-29","IV60120361","ร้าน ศรีผ่องอิเล็คทรอนิคส์","316/13 ถนนหฤทัยรมย์","23,100.00"
"2017-12-29","IV60120359","ร้าน ศรีผ่องอิเล็คทรอนิคส์","316/13 ถนนหฤทัยรมย์","18,260.00"
"2017-12-29","IV60120358","ร้าน เซฟตี้เซ็นเตอร์ แอนเซอร์วิส","200/27 ถ.คลองยาเหนือ","52,500.00"
"2017-12-29","IV60120357","ร้าน จักรพันธ์ตรังไฟฟ้า","22-24 ถ.กันตรัง","36,720.00"
"2017-12-29","IV60120356","ร้าน  เจริญการไฟฟ้า","251/1, ถนนบำรุงเมือง","4,200.00"
"2017-12-29","IV60120355","ร้าน ปทุมราชเทคนิค","16 ม.3","8,400.00"
"2017-12-29","IV60120354","ร้าน มนตรีพานิช","128/1-2 หมู่ 5","5,460.00"
"2017-12-29","IV60120353","ร้าน ศรีผ่องอิเล็คทรอนิคส์","316/13 ถนนหฤทัยรมย์","16,280.00"
"2017-12-29","IV60120360","ร้าน ศรีผ่องอิเล็คทรอนิคส์","316/13 ถนนหฤทัยรมย์","20,460.00"
"2017-12-29","IV60120352","ร้าน ศรีผ่องอิเล็คทรอนิคส์","316/13 ถนนหฤทัยรมย์","112,920.00"
"2017-12-28","IV60120351","ร้าน คลังไฟฟ้า (เชียงใหม่)","52/54 ถ.วัวลาย","173,880.00"
"2017-12-28","IV60120349","หจก. คงสิน ซูเปอร์มาร์ท","164/13-14 ถ.โนนสูง-มิตรภาพ","28,668.00"
"2017-12-28","IV60120348","ร้าน ฟ้าสยามทุ่งสง","159/23 ม.8","9,120.00"
"2017-12-28","IV60120346","หจก. ยิ่งเจริญพาณิชย์ปากช่อง","680/1 ถนนมิตรภาพ","14,778.00"
"2017-12-28","IV60120344","ร้าน วีกิจการไฟฟ้า","180/1-2 ถ.ธนูประสิทธิ์","8,400.00"
"2017-12-28","IV60120343","ร้าน สินเจริญ  ","88/5 ถ.กาญจนวณิชย์ ","9,500.00"
"2017-12-28","IV60120341","นาย ณัฐภัทร ภูศรี    ","","661.54"
"2017-12-28","IV60120340","นาย ณัฐภัทร ภูศรี    ","","1,683.92"
"2017-12-28","IV60120339","ร้าน ทวีศักดิ์การไฟฟ้า","405 ถ.โชคชัย-เดชอุดม","51,610.00"
"2017-12-28","IV60120338","ร้าน แสงบุรีรัมย์การไฟฟ้า","142/14-19 ถนนนิวาส","38,700.00"
"2017-12-28","IV60120337","ร้าน แสงสุรินทร์การไฟฟ้า","40/1 ถนนหลักเมือง","24,750.00"
"2017-12-28","IV60120336","หจก. สัจพรการไฟฟ้า","126 ม.8 ถ.ชยางกูร ","18,750.00"
"2017-12-28","IV60120335","หจก. ยิ่งเจริญพาณิชย์ปากช่อง","680/1 ถนนมิตรภาพ","35,816.00"
"2017-12-28","IV60120350","หจก. คงสิน ซูเปอร์มาร์ท","164/13-14 ถ.โนนสูง-มิตรภาพ","924"
"2017-12-28","IV60120347","ร้าน เชียงน้อยการไฟฟ้า เวียงจันทร์","ตลาดบ้านโพนชัย","29,225.00"
"2017-12-28","IV60120345","ร้าน แสงรุ่งเรืองการไฟฟ้า","36-38 ถ.ชยางกูร","50,010.00"
"2017-12-28","IV60120342","ร้าน เมืองไทยอิเล็คโทรนิคส์","169 ถ.ราชการดำเนิน","137,780.00"
"2017-12-27","IV60120334","หจก. ยิ่งเจริญพาณิชย์ปากช่อง","680/1 ถนนมิตรภาพ","14,000.00"
"2017-12-27","IV60120331","ร้าน โปร-เซฟตี้","767/4 ถ.ราชญาติรักษา","143,500.00"
"2017-12-27","IV60120330","ร้าน สงัดอีเล็คทริค","43/4-5 ม.7 ถ.ตรีรัตน์","10,150.00"
"2017-12-27","IV60120329","ร้าน แสงรุ่งเรืองการไฟฟ้า","36-38 ถ.ชยางกูร","97,307.50"
"2017-12-27","IV60120328","ร้าน เอ ที การไฟฟ้า","402 บ้านฮ่องกอม้วง  ม.6 ","2,040.00"
"2017-12-27","IV60120333","ร้าน เจริญธรรมการไฟฟ้า","150-158 ถ.จุฑางกูร","58,622.50"
"2017-12-27","IV60120332","ร้าน เซฟตี้เซ็นเตอร์ แอนเซอร์วิส","200/27 ถ.คลองยาเหนือ","63,000.00"
"2017-12-27","CT6012176","บริษัท เจมินี ยูนิเวอร์แซล จำกัด","206/19 ถ.เจษฎาวิถี","5,617.50"
"2017-12-26","IV60120327","ร้าน ฟ้าสยามทุ่งสง","159/23 ม.8","18,240.00"
"2017-12-26","IV60120325","ร้าน เอ ที การไฟฟ้า","402 บ้านฮ่องกอม้วง  ม.6 ","7,250.00"
"2017-12-26","IV60120326","ร้าน แสงรุ่งเรืองทรัพย์","141/2 ม.12 ถ.พ่อขุน-ป่ายางมน","115,425.00"
"2017-12-26","IV60120324","บริษัท เคทีอิเลคทริค จำกัด (ขอนแก่น)","888 ม.1","135,300.00"
"2017-12-26","IV60120323","ร้าน พรเจริญฮาร์ดแวร์","343 ถนนสวนผัก ","2,074.59"
"2017-12-26","IV60120320","ร้าน สหไฟฟ้า","1510/45 ถ.กวงเฮง","154,050.00"
"2017-12-26","IV60120318","ร้าน เซียงกี่ท่ายาง 1996 (ร้านใหม่)","331/15 ม.1","4,750.00"
"2017-12-26","IV60120322","บริษัท เค ที ซี อิเล็คทริค (2012) จำกัด","เลขที่ 2381 ซ.พุทธบูชา26","3,000.00"
"2017-12-26","IV60120321","ร้าน จงชัยไล้ติ้ง (เชียงรายอุปกรณ์)","191 ม.16 ถ.ประสบสุข","50,010.00"
